Symbol,Industry,gt_10pc_gth,future_price_gth,Stacked_mdl_prob,nn_mdl_prob,avg_mdl_prob,Top30_ret,Top100_ret,largest_drawdown,Top30_ret_ddown
PLNT,Leisure,0.0,0.047222222222222304,0.60050946,0.47140622,0.5359578,0.06268903518696232,0.05594483796721389,-0.3972026240871396,0.05303723510093251
BILL,Software-Application,1.0,0.2182474565146045,0.7715906,0.70231014,0.7369504,0.06268903518696232,0.05594483796721389,-0.39746300211416485,0.05303723510093251
UBER,Software-Application,0.0,-0.01472609463970155,0.45447063,0.71977717,0.5871239,0.06268903518696232,0.05594483796721389,-0.39801638637343684,0.05303723510093251
FSLY,Software-Application,0.0,-0.5673525377229081,0.59471995,0.6153868,0.60505337,0.06268903518696232,0.05594483796721389,-0.39936708860759496,0.05303723510093251
NSIT,Information Technology Services,1.0,0.380814717477004,0.58240587,0.47425207,0.52832896,0.06268903518696232,0.05594483796721389,-0.4006259780907667,0.05303723510093251
HAS,Leisure,0.0,0.029442442991003733,0.46793818,0.5975029,0.53272057,0.06268903518696232,0.05594483796721389,-0.4014024238262154,0.05303723510093251
SHOP,Software-Application,0.0,0.09753411190708099,0.9077971,0.7577905,0.83279383,0.06268903518696232,0.05594483796721389,-0.40144423642685223,0.05303723510093251
GSIT,Semiconductors,0.0,-0.1559888579387187,0.49955598,0.5355088,0.5175324,0.06268903518696232,0.05594483796721389,-0.4152542372881357,0.05303723510093251
WPM,Gold,1.0,0.18530389800064187,0.35721377,0.8077286,0.5824712,0.06268903518696232,0.05594483796721389,-0.41571824706603755,0.05303723510093251
EGHT,Software-Application,0.0,-0.3466666666666666,0.5576296,0.52515006,0.5413898,0.06268903518696232,0.05594483796721389,-0.4298642533936653,0.05303723510093251
ESTC,Software-Application,0.0,-0.1387865227691498,0.5632741,0.6040204,0.58364725,0.06268903518696232,0.05594483796721389,-0.4352929272488112,0.05303723510093251
RAMP,Information Technology Services,0.0,-0.3517368907674019,0.5232979,0.53095657,0.52712727,0.06268903518696232,0.05594483796721389,-0.4356248928510199,0.05303723510093251
SAND,Gold,1.0,0.32972136222910214,0.27589837,0.80460113,0.54024976,0.06268903518696232,0.05594483796721389,-0.4356435643564357,0.05303723510093251
MDLA,Software-Application,0.0,-0.3187951807228916,0.610265,0.60846597,0.60936546,0.06268903518696232,0.05594483796721389,-0.43739472206625485,0.05303723510093251
MKSI,Scientific & Technical Instruments,1.0,0.18231567733466905,0.38104355,0.75449926,0.56777143,0.06268903518696232,0.05594483796721389,-0.43759187319746684,0.05303723510093251
TENB,Software-Infrastructure,0.0,-0.15578904829258436,0.60072505,0.46976802,0.53524655,0.06268903518696232,0.05594483796721389,-0.43775720164609067,0.05303723510093251
CGNX,Scientific & Technical Instruments,0.0,-0.030554010945593974,0.4008666,0.63380885,0.51733774,0.06268903518696232,0.05594483796721389,-0.4397158649097368,0.05303723510093251
EA,Electronic Gaming & Multimedia,0.0,0.016498055346327707,0.32899305,0.7281572,0.5285751,0.06268903518696232,0.05594483796721389,-0.4404338220011559,0.05303723510093251
WK,Software-Application,0.0,-0.05765876680004108,0.6760124,0.5905468,0.63327956,0.06268903518696232,0.05594483796721389,-0.44344981924599747,0.05303723510093251
CVLT,Software-Application,1.0,0.2524689391525963,0.6241993,0.4210486,0.52262396,0.06268903518696232,0.05594483796721389,-0.44714285714285695,0.05303723510093251
ADUS,Medical Care Facilities,0.0,-0.15673034207019104,0.35198188,0.6846593,0.51832056,0.06268903518696232,0.05594483796721389,-0.4481540930979133,0.05303723510093251
AMD,Semiconductors,0.0,-0.047407753386268126,0.58678484,0.53346086,0.56012285,0.06268903518696232,0.05594483796721389,-0.4485530546623794,0.05303723510093251
FN,Electronic Components,1.0,0.18634405877881946,0.51308197,0.64934295,0.58121246,0.06268903518696232,0.05594483796721389,-0.4487891579648968,0.05303723510093251
ALRM,Software-Application,0.0,-0.14044339216530347,0.6269422,0.41068748,0.51881486,0.06268903518696232,0.05594483796721389,-0.4510440180586909,0.05303723510093251
OR,Gold,1.0,0.3182893604817895,0.37667817,0.6960559,0.53636706,0.06268903518696232,0.05594483796721389,-0.4515970068914277,0.05303723510093251
HTGC,Mortgage Finance,1.0,0.22282220507985487,0.3307488,0.7666586,0.5487037,0.06268903518696232,0.05594483796721389,-0.45696226215558833,0.05303723510093251
QDEL,Diagnostics & Research,0.0,-0.5853289237757501,0.47414643,0.6222699,0.5482082,0.06268903518696232,0.05594483796721389,-0.4581604426002769,0.05303723510093251
BIIB,Drug Manufacturers-General,0.0,0.012490711581331066,0.47155687,0.61594844,0.5437527,0.06268903518696232,0.05594483796721389,-0.4806508147025389,0.05303723510093251
MRVL,Semiconductors,0.0,-0.05250706242169075,0.5131956,0.5434211,0.52830833,0.06268903518696232,0.05594483796721389,-0.48340102897373427,0.05303723510093251
